,A.DCE,C.DCE,CS.DCE,M.DCE,Y.DCE,P.DCE,JD.DCE,L.DCE,PP.DCE,V.DCE,J.DCE,JM.DCE,I.DCE,CF.CZC,SR.CZC,RM.CZC,TA.CZC,FG.CZC,MA.CZC,ZC.CZC,CU.SHF,ZN.SHF,AL.SHF,NI.SHF,AU.SHF,AG.SHF,BU.SHF,RU.SHF,HC.SHF,RB.SHF,IC.CFE,IH.CFE,IF.CFE,T.CFE,TF.CFE
2009-12-31,A1009.DCE,C1009.DCE,,M1009.DCE,Y1009.DCE,P1009.DCE,,L1005.DCE,,V1003.DCE,,,,CF1005.CZC,SR1009.CZC,,TA1003.CZC,,,,CU1004.SHF,ZN1004.SHF,AL1004.SHF,,AU1006.SHF,,,RU1005.SHF,,RB1005.SHF,,,,,
2010-01-04,A1009.DCE,C1009.DCE,,M1009.DCE,Y1009.DCE,P1009.DCE,,L1005.DCE,,V1003.DCE,,,,CF1005.CZC,SR1009.CZC,,TA1003.CZC,,,,CU1004.SHF,ZN1004.SHF,AL1004.SHF,,AU1006.SHF,,,RU1005.SHF,,RB1005.SHF,,,,,
2010-01-05,A1009.DCE,C1009.DCE,,M1009.DCE,Y1009.DCE,P1009.DCE,,L1005.DCE,,V1003.DCE,,,,CF1005.CZC,SR1009.CZC,,TA1003.CZC,,,,CU1004.SHF,ZN1004.SHF,AL1004.SHF,,AU1006.SHF,,,RU1005.SHF,,RB1005.SHF,,,,,
2010-01-06,A1009.DCE,C1009.DCE,,M1009.DCE,Y1009.DCE,P1009.DCE,,L1005.DCE,,V1003.DCE,,,,CF1005.CZC,SR1009.CZC,,TA1003.CZC,,,,CU1004.SHF,ZN1004.SHF,AL1004.SHF,,AU1006.SHF,,,RU1005.SHF,,RB1005.SHF,,,,,
2010-01-07,A1009.DCE,C1009.DCE,,M1009.DCE,Y1009.DCE,P1009.DCE,,L1005.DCE,,V1003.DCE,,,,CF1005.CZC,SR1009.CZC,,TA1003.CZC,,,,CU1004.SHF,ZN1004.SHF,AL1004.SHF,,AU1006.SHF,,,RU1005.SHF,,RB1005.SHF,,,,,
2010-01-08,A1009.DCE,C1009.DCE,,M1009.DCE,Y1009.DCE,P1009.DCE,,L1005.DCE,,V1003.DCE,,,,CF1005.CZC,SR1009.CZC,,TA1003.CZC,,,,CU1004.SHF,ZN1004.SHF,AL1004.SHF,,AU1006.SHF,,,RU1005.SHF,,RB1005.SHF,,,,,
2010-01-11,A1009.DCE,C1009.DCE,,M1009.DCE,Y1009.DCE,P1009.DCE,,L1005.DCE,,V1003.DCE,,,,CF1005.CZC,SR1009.CZC,,TA1003.CZC,,,,CU1004.SHF,ZN1004.SHF,AL1004.SHF,,AU1006.SHF,,,RU1005.SHF,,RB1005.SHF,,,,,
2010-01-12,A1009.DCE,C1009.DCE,,M1009.DCE,Y1009.DCE,P1009.DCE,,L1005.DCE,,V1003.DCE,,,,CF1005.CZC,SR1009.CZC,,TA1003.CZC,,,,CU1004.SHF,ZN1004.SHF,AL1004.SHF,,AU1006.SHF,,,RU1005.SHF,,RB1005.SHF,,,,,
2010-01-13,A1009.DCE,C1009.DCE,,M1009.DCE,Y1009.DCE,P1009.DCE,,L1005.DCE,,V1003.DCE,,,,CF1009.CZC,SR1009.CZC,,TA1003.CZC,,,,CU1004.SHF,ZN1004.SHF,AL1004.SHF,,AU1006.SHF,,,RU1005.SHF,,RB1005.SHF,,,,,
2010-01-14,A1009.DCE,C1009.DCE,,M1009.DCE,Y1009.DCE,P1009.DCE,,L1005.DCE,,V1003.DCE,,,,CF1009.CZC,SR1009.CZC,,TA1003.CZC,,,,CU1004.SHF,ZN1004.SHF,AL1004.SHF,,AU1006.SHF,,,RU1005.SHF,,RB1005.SHF,,,,,
