,JR1403.CZC,JR1405.CZC,JR1407.CZC,JR1409.CZC,JR1411.CZC,JR1501.CZC,JR1503.CZC,JR1505.CZC,JR1507.CZC,JR1509.CZC,JR1511.CZC,JR1601.CZC,JR1603.CZC,JR1605.CZC,JR607.CZC,JR609.CZC,JR611.CZC,JR701.CZC,JR703.CZC,JR705.CZC,JR707.CZC,JR709.CZC,JR711.CZC,JR801.CZC,JR803.CZC,JR805.CZC,JR807.CZC,JR809.CZC,JR811.CZC,JR901.CZC,JR903.CZC
2013-11-18,3051.0,3060.0,3040.0,3090.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-19,3060.0,3041.0,3082.0,3077.0,3085.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-20,3053.0,3068.0,,3094.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-21,3055.0,3058.0,,3081.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-22,3059.0,3064.0,,3076.0,3075.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-25,3093.0,3098.0,,3100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-26,3090.0,3093.0,3111.0,3096.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-27,3124.0,3106.0,,3103.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-28,3098.0,3100.0,,3090.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-29,,3092.0,3124.0,3086.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-02,3095.0,3096.0,,3086.0,3063.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-03,,3099.0,,3086.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-04,3090.0,3099.0,,3084.0,3045.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-05,3090.0,3089.0,,3084.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-06,3075.0,3079.0,,3090.0,3005.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-09,,3076.0,,3078.0,3072.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-10,,3072.0,,3060.0,3061.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-11,,3060.0,,3081.0,3081.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-12,,3050.0,,3056.0,3003.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-13,,3083.0,,3082.0,3010.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-16,,3103.0,,3099.0,2990.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-17,,3093.0,,3070.0,3020.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-18,,3087.0,,3067.0,3004.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-19,3066.0,3078.0,,3067.0,3010.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-20,3075.0,3077.0,,3066.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-23,3145.0,3096.0,3079.0,3069.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-24,3077.0,3092.0,,3061.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-25,,3076.0,,3059.0,3019.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-26,,3085.0,3028.0,3066.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-27,3152.0,3067.0,,3065.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-30,3141.0,3078.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,,3082.0,,3060.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-02,3143.0,3079.0,,3060.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-03,3180.0,3069.0,,3056.0,3003.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-06,,3072.0,,3063.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-07,3215.0,3072.0,,3061.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-08,3166.0,3088.0,,3083.0,3043.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-09,,3096.0,,,3042.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-10,,3098.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-13,,3109.0,3061.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-14,,3117.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-15,,3105.0,,3064.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-16,,3106.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-17,,3115.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-20,,3114.0,,3069.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-21,3122.0,3113.0,,3091.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-22,3199.0,3111.0,,3078.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-23,,3140.0,3148.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-24,,3133.0,3101.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-27,,3103.0,,3078.0,3010.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-28,,3089.0,,3066.0,3011.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-29,,3075.0,,3061.0,2929.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-30,,3031.0,,3055.0,3025.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-07,,3055.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-10,,3085.0,,3075.0,2961.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-11,,3087.0,3086.0,,3016.0,2941.0,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-12,,3078.0,,3087.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
