,PM1501.CZC,PM1503.CZC,PM1505.CZC,PM1507.CZC,PM1509.CZC,PM1511.CZC,PM1601.CZC,PM1603.CZC,PM1605.CZC,PM607.CZC,PM609.CZC,PM611.CZC,PM701.CZC,PM703.CZC,PM705.CZC,PM707.CZC,PM709.CZC,PM711.CZC,PM801.CZC,PM803.CZC,PM805.CZC,PM807.CZC,PM809.CZC,PM811.CZC,PM901.CZC,PM903.CZC
2015-01-06,2650.0,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-08,,,,,,2643.0,,,,,,,,,,,,,,,,,,,,
2015-01-12,,,,,2610.0,,,,,,,,,,,,,,,,,,,,,
2015-01-13,,,,,2511.0,,,,,,,,,,,,,,,,,,,,,
2015-01-19,,,2598.0,,,,,,,,,,,,,,,,,,,,,,,
2015-01-21,,2423.0,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-22,,2326.0,,,,,2336.0,,,,,,,,,,,,,,,,,,,
2015-01-23,,,2699.0,,2524.0,2537.0,,,,,,,,,,,,,,,,,,,,
2015-01-27,,,2645.0,,,,,,,,,,,,,,,,,,,,,,,
2015-01-28,,,2602.0,,,,,,,,,,,,,,,,,,,,,,,
2015-01-29,,,2628.0,,2514.0,,,,,,,,,,,,,,,,,,,,,
2015-02-02,,,2664.0,,,,,,,,,,,,,,,,,,,,,,,
2015-02-11,,,,,,2625.0,,,,,,,,,,,,,,,,,,,,
2015-02-13,,,,,2514.0,2465.0,,,,,,,,,,,,,,,,,,,,
2015-02-17,,,,,2550.0,,,,,,,,,,,,,,,,,,,,,
2015-02-27,,,,,,,2564.0,,,,,,,,,,,,,,,,,,,
2015-03-02,,,,,,2584.0,,,,,,,,,,,,,,,,,,,,
2015-03-18,,,2520.0,,,,,,,,,,,,,,,,,,,,,,,
2015-03-31,,,2569.0,,,,,,,,,,,,,,,,,,,,,,,
2015-04-03,,,2699.0,,,,,,,,,,,,,,,,,,,,,,,
2015-04-07,,,2593.0,,,,,,,,,,,,,,,,,,,,,,,
2015-04-08,,,2521.0,,2612.0,,,,,,,,,,,,,,,,,,,,,
2015-04-10,,,,,2628.0,,,,,,,,,,,,,,,,,,,,,
2015-04-14,,,,,2658.0,,,,,,,,,,,,,,,,,,,,,
2015-04-16,,,,,,,2569.0,,,,,,,,,,,,,,,,,,,
2015-04-20,,,2524.0,,,,,,,,,,,,,,,,,,,,,,,
2015-04-21,,,2451.0,,,,,,,,,,,,,,,,,,,,,,,
2015-04-23,,,2619.0,,,,,,,,,,,,,,,,,,,,,,,
2015-04-27,,,,,,,,2700.0,,,,,,,,,,,,,,,,,,
2015-04-29,,,2660.0,,,,,,,,,,,,,,,,,,,,,,,
2015-05-06,,,,,2628.0,,,,,,,,,,,,,,,,,,,,,
2015-05-11,,,,,2433.0,,,,,,,,,,,,,,,,,,,,,
2015-05-12,,,,,2531.0,,,,,,,,,,,,,,,,,,,,,
2015-05-13,,,,,2538.0,,,,,,,,,,,,,,,,,,,,,
2015-05-14,,,,,2452.0,,,,,,,,,,,,,,,,,,,,,
2015-05-15,,,,,2446.0,,,,,,,,,,,,,,,,,,,,,
2015-05-19,,,,,2544.0,2398.0,,,,,,,,,,,,,,,,,,,,
2015-05-20,,,,,,,,,2648.0,,,,,,,,,,,,,,,,,
2015-05-27,,,,,,2494.0,,,,,,,,,,,,,,,,,,,,
2015-05-28,,,,,,2546.0,,,2748.0,,,,,,,,,,,,,,,,,
2015-06-01,,,,,,,2713.0,,,,,,,,,,,,,,,,,,,
2015-06-05,,,,,,2620.0,,,,,,,,,,,,,,,,,,,,
2015-06-08,,,,,,2637.0,,,,,,,,,,,,,,,,,,,,
2015-06-10,,,,,,,,,2735.0,,,,,,,,,,,,,,,,,
2015-06-12,,,,,,,,,2835.0,,,,,,,,,,,,,,,,,
2015-06-16,,,,,,,2580.0,,,,,,,,,,,,,,,,,,,
2015-06-17,,,,,,,2682.0,,,,,,,,,,,,,,,,,,,
2015-06-18,,,,,,,2730.0,,,,,,,,,,,,,,,,,,,
2015-06-19,,,,2253.0,,2512.0,,,2634.0,,,,,,,,,,,,,,,,,
2015-06-23,,,,,,,2699.0,,2738.0,,,,,,,,,,,,,,,,,
2015-06-24,,,,,,,,,2699.0,,,,,,,,,,,,,,,,,
2015-06-25,,,,,,,,,2704.0,,,,,,,,,,,,,,,,,
2015-06-26,,,,,,,2624.0,,,,,,,,,,,,,,,,,,,
2015-06-30,,,,,,,2580.0,,2725.0,,,,,,,,,,,,,,,,,
2015-07-01,,,,,,,2684.0,,2739.0,,,,,,,,,,,,,,,,,
2015-07-02,,,,,,,2690.0,,,,,,,,,,,,,,,,,,,
2015-07-03,,,,,,,2583.0,,2765.0,,,,,,,,,,,,,,,,,
2015-07-06,,,,,,,2536.0,,2638.0,,,,,,,,,,,,,,,,,
2015-07-08,,,,,,,2525.0,,2493.0,,,,,,,,,,,,,,,,,
2015-07-09,,,,,2554.0,,2500.0,,2470.0,,,,,,,,,,,,,,,,,
2015-07-15,,,,,,2619.0,,,,,,,,,,,,,,,,,,,,
2015-07-16,,,,,,2528.0,,,2529.0,,,,,,,,,,,,,,,,,
2015-07-22,,,,,2361.0,,,,,,,,,,,,,,,,,,,,,
2015-07-23,,,,,2361.0,2520.0,,,,,,,,,,,,,,,,,,,,
2015-07-24,,,,,,,2582.0,,,,,,,,,,,,,,,,,,,
2015-08-03,,,,,,,,,,2631.0,,,,,,,,,,,,,,,,
2015-08-05,,,,,,,2449.0,,,,,,,,,,,,,,,,,,,
2015-08-06,,,,,,2620.0,,,,,,,,,,,,,,,,,,,,
2015-08-07,,,,,,2537.0,,,,2470.0,,,,,,,,,,,,,,,,
2015-08-11,,,,,2277.0,,2472.0,,,,,,,,,,,,,,,,,,,
2015-08-13,,,,,,,2460.0,,2470.0,,,,,,,,,,,,,,,,,
2015-08-17,,,,,,,,,2371.0,,,,,,,,,,,,,,,,,
2015-08-21,,,,,,,,2533.0,,,,,,,,,,,,,,,,,,
2015-08-26,,,,,,,2400.0,,,,,,,,,,,,,,,,,,,
2015-09-01,,,,,2274.0,,,,,,,,,,,,,,,,,,,,,
2015-09-02,,,,,,,2501.0,,,,,,,,,,,,,,,,,,,
2015-09-07,,,,,,2231.0,2421.0,,,,,,,,,,,,,,,,,,,
2015-09-15,,,,,,,2360.0,,,,,,,,,,,,,,,,,,,
2015-09-16,,,,,,,2414.0,,,,,,,,,,,,,,,,,,,
2015-09-30,,,,,,,2383.0,,,,,,,,,,,,,,,,,,,
2015-10-14,,,,,,,2389.0,,,,,,,,,,,,,,,,,,,
2015-10-15,,,,,,,2479.0,,,,,,,,,,,,,,,,,,,
2015-10-20,,,,,,,2366.0,,,,,,,,,,,,,,,,,,,
2015-10-21,,,,,,,2333.0,,2380.0,,,,,,,,,,,,,,,,,
2015-10-22,,,,,,,2357.0,,,,,,,,,,,,,,,,,,,
2015-10-26,,,,,,,2386.0,,,,,,,,,,,,,,,,,,,
2015-10-27,,,,,,,2428.0,,,,,,,,,,,,,,,,,,,
